,IRMS_C.2,IRMS_C.1.1,IRMS_C.1,I2,IRMS_B.1,IRMS_B.2,I1,IRMS_B.3,I3,V1,V2,V3,P1,P2,P3,Q1,Q2,Q3,TIMESTAMP,LOG(I1),LOG(I2),LOG(I3),I1_diff(2),I2_diff(2),I3_diff(2)
35,137.68,137.68,137.68,169.229164143,154.49587227700002,170.612121696,0.921,0.841,0.8959999999999999,241.36,242.796,244.176,144.748,134.28,137.68,169.229164143,154.49587227700002,170.612121696,01-09-2020 00:00:35,-0.08229524272683016,5.131253797230346,-0.10981486600720669,0 days 00:00:02,0 days 00:00:02,0 days 00:00:02
36,136.931,136.931,136.931,168.904404298,154.008701484,170.578196482,0.919,0.8390000000000001,0.895,241.353,242.778,244.149,144.086,133.499,136.931,168.904404298,154.008701484,170.578196482,01-09-2020 00:00:36,-0.08446915662644996,5.129332899838484,-0.11093156070728166,0 days 00:00:02,0 days 00:00:02,0 days 00:00:02
37,136.931,136.931,136.931,168.904404298,154.008701484,170.578196482,0.919,0.8390000000000001,0.895,241.353,242.778,244.149,144.086,133.499,136.931,168.904404298,154.008701484,170.578196482,01-09-2020 00:00:37,-0.08446915662644996,5.129332899838484,-0.11093156070728166,0 days 00:00:02,0 days 00:00:02,0 days 00:00:02
38,135.018,135.018,135.018,169.217119233,154.388467716,170.416319983,0.915,0.8340000000000001,0.889,241.268,242.685,244.072,142.07,131.703,135.018,169.217119233,154.388467716,170.416319983,01-09-2020 00:00:38,-0.0888312137066157,5.131182619554025,-0.11765804346823246,0 days 00:00:02,0 days 00:00:02,0 days 00:00:02
39,137.446,137.446,137.446,168.92519046,153.869410725,170.322150484,0.92,0.84,0.8959999999999999,241.267,242.699,244.061,144.488,134.094,137.446,168.92519046,153.869410725,170.322150484,01-09-2020 00:00:39,-0.08338160893905101,5.129455956920213,-0.10981486600720669,0 days 00:00:02,0 days 00:00:02,0 days 00:00:02
40,136.622,136.622,136.622,168.410888244,153.874880187,170.193267849,0.917,0.8390000000000001,0.894,241.171,242.603,243.959,143.665,133.38299999999998,136.622,168.410888244,153.874880187,170.193267849,01-09-2020 00:00:40,-0.08664780672567216,5.1264067567489295,-0.11204950380862289,0 days 00:00:02,0 days 00:00:02,0 days 00:00:02
41,137.781,137.781,137.781,169.048126268,154.412166041,170.737280211,0.921,0.8420000000000001,0.897,241.332,242.763,244.116,144.97899999999998,134.567,137.781,169.048126268,154.412166041,170.737280211,01-09-2020 00:00:41,-0.08229524272683016,5.130183445200129,-0.10869941692334091,0 days 00:00:02,0 days 00:00:02,0 days 00:00:02
42,137.952,137.952,137.952,168.763028415,154.09745147200002,170.500184267,0.921,0.841,0.897,241.336,242.78,244.125,145.121,134.653,137.952,168.763028415,154.09745147200002,170.500184267,01-09-2020 00:00:42,-0.08229524272683016,5.128495532194676,-0.10869941692334091,0 days 00:00:02,0 days 00:00:02,0 days 00:00:02
43,135.81,135.81,135.81,168.434865936,153.769171102,170.519337857,0.915,0.836,0.892,241.187,242.624,243.986,142.923,132.58100000000002,135.81,168.434865936,153.769171102,170.519337857,01-09-2020 00:00:43,-0.0888312137066157,5.126549122753208,-0.11428914640212766,0 days 00:00:02,0 days 00:00:02,0 days 00:00:02
44,137.16,137.16,137.16,168.933710477,154.124244583,170.415121285,0.919,0.84,0.895,241.316,242.767,244.129,144.111,133.957,137.16,168.933710477,154.124244583,170.415121285,01-09-2020 00:00:44,-0.08446915662644996,5.129506392276382,-0.11093156070728166,0 days 00:00:02,0 days 00:00:02,0 days 00:00:02
45,137.55200000000002,137.55200000000002,137.55200000000002,168.62719376299998,154.393473315,170.453504965,0.92,0.841,0.8959999999999999,241.32,242.767,244.12,144.618,134.191,137.55200000000002,168.62719376299998,154.393473315,170.453504965,01-09-2020 00:00:45,-0.08338160893905101,5.1276903241571565,-0.10981486600720669,0 days 00:00:02,0 days 00:00:02,0 days 00:00:02
46,137.81,137.81,137.81,169.091268934,154.07710356299998,170.773216814,0.922,0.841,0.897,241.303,242.685,244.121,145.016,134.275,137.81,169.091268934,154.07710356299998,170.773216814,01-09-2020 00:00:46,-0.08121005542554317,5.130438622010913,-0.10869941692334091,0 days 00:00:02,0 days 00:00:02,0 days 00:00:02
47,136.099,136.099,136.099,169.05711434399998,154.424316992,170.434409173,0.918,0.838,0.892,241.298,242.696,244.134,143.451,132.791,136.099,169.05711434399998,154.424316992,170.434409173,01-09-2020 00:00:47,-0.08555788836164654,5.130236612527472,-0.11428914640212766,0 days 00:00:02,0 days 00:00:02,0 days 00:00:02
48,138.257,138.257,138.257,169.309597301,154.116256653,170.42811627,0.924,0.843,0.897,241.291,242.699,244.131,145.591,135.031,138.257,169.309597301,154.116256653,170.42811627,01-09-2020 00:00:48,-0.07904320734045285,5.131728975665869,-0.10869941692334091,0 days 00:00:02,0 days 00:00:02,0 days 00:00:02
49,136.857,136.857,136.857,169.510837142,154.323730917,170.934338213,0.92,0.8390000000000001,0.895,241.318,242.746,244.186,143.836,133.415,136.857,169.510837142,154.323730917,170.934338213,01-09-2020 00:00:49,-0.08338160893905101,5.1329168607176925,-0.11093156070728166,0 days 00:00:02,0 days 00:00:02,0 days 00:00:02
50,136.53799999999998,136.53799999999998,136.53799999999998,169.20206993899998,154.364155186,170.535907341,0.919,0.838,0.894,241.297,242.721,244.169,143.57399999999998,133.094,136.53799999999998,169.20206993899998,154.364155186,170.535907341,01-09-2020 00:00:50,-0.08446915662644996,5.131093680779325,-0.11204950380862289,0 days 00:00:02,0 days 00:00:02,0 days 00:00:02
51,136.877,136.877,136.877,168.705122281,154.350335465,170.510927401,0.918,0.8390000000000001,0.894,241.233,242.683,244.13,143.916,133.438,136.877,168.705122281,154.350335465,170.510927401,01-09-2020 00:00:51,-0.08555788836164654,5.128152352345266,-0.11204950380862289,0 days 00:00:02,0 days 00:00:02,0 days 00:00:02
